,Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Price_in_taka,Location
0,We Are Offering You A Very Spacious 1960 Sq Ft Flat For Sale In Gulshan 1,3.0,4.0,3,vacant,1960.0,dhaka,"৳39,000,000","Gulshan 1, Gulshan"
1,Valuable 1705 Square Feet Apartment Is Ready To Sale In Kalabagan,3.0,3.0,1,vacant,1705.0,dhaka,"৳16,900,000","Lake Circus Road, Kalabagan"
2,1370 square feet apartment is ready to sale in Shukrabad,3.0,3.0,6,vacant,1370.0,dhaka,"৳12,500,000","Shukrabad, Dhanmondi"
3,"2125 Square Feet Apartment For Sale In Bashundhara R-a, Block L",3.0,3.0,4,vacant,2125.0,dhaka,"৳20,000,000","Block L, Bashundhara R-A"
4,Buy This 2687 Square Feet Flat In The Nice Area Of Banani,3.0,3.0,4,vacant,2687.0,dhaka,"৳47,500,000","Road No 25, Banani"
5,Modern 1150 Sq Ft Flat For Sale In Badda,3.0,3.0,3,vacant,1150.0,dhaka,"৳8,800,000","Middle Badda, Badda"
6,"2119 Sq Ft Apartment For Sale In Bashundhara R-a, Near North South University",3.0,3.0,8,vacant,2119.0,dhaka,"৳19,000,000","Block B, Bashundhara R-A"
7,Live A Restful Life In This 2318 Square Feet Flat For Sale In Bashundhara R-a,4.0,4.0,2,vacant,2318.0,dhaka,"৳23,000,000","Block D, Bashundhara R-A"
8,Worthy 1397 Sq Ft Nice Flat Is Ready For Sale At Demra,3.0,3.0,8,vacant,1397.0,dhaka,"৳8,000,000","Matuail, Demra"
9,Offering You 2400 Sq Ft Flat For Sale In Aftab Nagar,3.0,3.0,1,vacant,2400.0,dhaka,"৳20,000,000","Block H, Aftab Nagar"
10,1300 Square Feet Residential Flat With Nicely Built Rooms Is Up For Sale In Shyampur,3.0,3.0,3,vacant,1300.0,dhaka,"৳8,000,000","West Dolairpar, Shyampur"
11,Nice 1300 Sq Ft Flat Is Available For Sale In Shyampur,3.0,3.0,4,vacant,1300.0,dhaka,"৳8,000,000","West Dolairpar, Shyampur"
12,1300 Sq Ft Flat Is Now Vacant For Sale In Shyampur,3.0,3.0,6,vacant,1300.0,dhaka,"৳8,000,000","West Dolairpar, Shyampur"
13,1900 Sq Ft Residential Duplex Property Is Now For Sale Which Is In Bashundhara R-a,3.0,3.0,1,vacant,1900.0,dhaka,"৳21,000,000","Block B, Bashundhara R-A"
14,Property In Aftab Nagar– 1500 Sq Ft Flat For Sale,3.0,3.0,5,vacant,1500.0,dhaka,"৳11,000,000","Block H, Aftab Nagar"
15,Uttara Is Offering You A 1450 Sq Ft Residential Apartment Up For Sale,3.0,3.0,3,vacant,1450.0,dhaka,"৳9,500,000","Sector 10, Uttara"
16,Offering you 750 SQ FT flat for sale in Uttara 10,2.0,2.0,2,vacant,750.0,dhaka,"৳6,200,000","Sector 10, Uttara"
17,Visit This 2343 Sq Ft Flat For Sale In Uttara Sector 6.,3.0,3.0,4,vacant,2343.0,dhaka,"৳22,000,000","Sector 6, Uttara"
18,Vacant Now | 1185 Sq Ft | Three Bedrooms Apt. | Ready To Move,3.0,3.0,5,vacant,1185.0,dhaka,"৳11,000,000","Lake Circus Road, Kalabagan"
19,"In A Great Location Of Bashundhara R-a, Block H, 1610 Sq Ft Apartment Is Up For Sale",3.0,3.0,4,vacant,1610.0,dhaka,"৳13,100,000","Block H, Bashundhara R-A"
20,"You can buy this lovely apartment of 2180 sq ft to live a relaxed life at Bashundhara R-A, Block J",4.0,4.0,7,vacant,2180.0,dhaka,"৳17,500,000","Block J, Bashundhara R-A"
21,"Wonderful Flat Covering An Area Of 3,650 Sq Ft Is Available For Sale In Gulshan 2",4.0,4.0,2,vacant,3650.0,dhaka,"৳78,000,000","Gulshan 2, Gulshan"
23,2700 Square Feet Apartment For Sale In Gulshan 1,3.0,3.0,3,vacant,2700.0,dhaka,"৳55,000,000","Gulshan 1, Gulshan"
24,Strongly Constructed 1175 Sq Ft Home Is Available To Sale In Baitul Aman Housing Society,3.0,2.0,2,vacant,1175.0,dhaka,"৳8,300,000","Baitul Aman Housing Society, Adabor"
25,Flat For Sale In Mirpur Section 6 Near Mosque,2.0,2.0,1,vacant,650.0,dhaka,"৳3,100,000","Section 6, Mirpur"
26,"1331 Sq Ft Apartment Is Now Available For Sale In Sector 4, Uttara",3.0,4.0,1,vacant,1331.0,dhaka,"৳16,000,000","Sector 4, Uttara"
27,"2 Bedrooms Apartment For Sale In Nobodoy Housing Society, Mohammadpur",2.0,2.0,4,vacant,900.0,dhaka,"৳4,500,000","Nobodoy Housing Society, Mohammadpur"
28,"1350 Sq Ft Flat Sale In Free School Street Road, Kathalbagan",3.0,3.0,2,vacant,1350.0,dhaka,"৳14,200,000","Free School Street, Kathalbagan"
29,Comfortable Flat Is Up For Sale In Pallabi Nearby City Club Ground,3.0,3.0,5,vacant,1200.0,dhaka,"৳7,500,000","Pallabi, Mirpur"
30,"Picture Yourself, Residing In This Well Constructed And Planned 2045 Sq Ft Apartment In Uttara-7, For Sale",3.0,3.0,1,vacant,2045.0,dhaka,"৳23,625,000","Sector 7, Uttara"
31,Offering 1500 Sq Ft Flat For Sale In Niketan,3.0,3.0,1,vacant,1500.0,dhaka,"৳25,000,000","Block C, Niketan"
32,Pleasant 1410 Sq Ft Residential Apartment For Sale In Shantinagar,3.0,3.0,4,vacant,1410.0,dhaka,"৳13,800,000","Vashani Goli, Shantinagar"
33,A Standard Lifestyle Is Awaiting You In This 650 Square Feet Flat Up For Sale In Sutrapur,2.0,2.0,5,vacant,650.0,dhaka,"৳4,000,000","Gandaria, Sutrapur"
34,An Apartment For Sale Is All Set For You To Settle In Mohammadpur Close To Dhaka Udyan Government College,3.0,3.0,8th,vacant,1100.0,dhaka,"৳4,700,000","Dhaka Uddan, Mohammadpur"
35,A Flat With All Facilities Is Up For Sale At West Shewrapara Near Baitul Arafa Masjid,3.0,2.0,2,vacant,1220.0,dhaka,"৳5,000,000","West Shewrapara, Mirpur"
36,1240 Square Feet Flat For Sale In The Location Of Shah Ali Bag,3.0,3.0,5,vacant,1240.0,dhaka,"৳7,320,000","Section 1, Mirpur"
37,1700 Sq.Ft. Apartment For Sale In Dakshin Khan Close To Nogoriabari Mohammadia Jame Masjid,3.0,3.0,5,vacant,1700.0,dhaka,"৳6,500,000","South Chalabon, Dakshin Khan"
38,Flat For Sale Covering A Beautiful Area In West Agargaon Nearby Momataj Memorial High School,3.0,3.0,1,vacant,1400.0,dhaka,"৳8,500,000","West Agargaon, Agargaon"
39,Residential Apartment Is For Sale In Mirpur Nearby Baitul Jannah Jame Masjid And Madrasha Complex,3.0,3.0,1,vacant,1050.0,dhaka,"৳4,700,000","Section 6, Mirpur"
41,Nice 1240 Sq Ft Flat Is Available For Sale In Dakkhin Paikpara,3.0,3.0,8,vacant,1240.0,dhaka,"৳8,700,000","Dakkhin Paikpara, Mirpur"
42,1504 Sq Ft Flat Is For Sale In The Thriving Arena Of Keraniganj,3.0,3.0,1,vacant,1504.0,dhaka,"৳7,100,000",Keraniganj
43,Find 750 Sq Ft Flat Available For Sale In Kadamtali,2.0,2.0,5,vacant,750.0,dhaka,"৳4,000,000","Kadamtali, Shyampur"
44,"Buy This Nice 750 Sq Ft Flat In Kadamtali, To Fulfill Your Wish",2.0,2.0,7,vacant,750.0,dhaka,"৳3,500,000","Kadamtali, Shyampur"
47,1485 Sq ft Apartment with 3 bedrooms For Sale in Mohammadpur,3.0,3.0,8,vacant,1485.0,dhaka,"৳13,200,000","Jahuri Moholla, Mohammadpur"
48,"1545 Sq Ft Flat With 3 Modest Bedrooms For Sale In Mirpur-2, Block C",3.0,3.0,5,vacant,1545.0,dhaka,"৳14,000,000","Section 2, Mirpur"
49,Completely suitable and ready flat of 1050 SQ FT for Sale in Kallyanpur,3.0,3.0,6,vacant,1050.0,dhaka,"৳8,200,000","Kallyanpur, Mirpur"
51,"Near Rampura Thana, 900 Sq.ft And 2 Bedroom Flat For Sale In West Rampura",2.0,2.0,5,vacant,900.0,dhaka,"৳4,100,000","West Rampura, Rampura"
52,1340 Sq.ft Apartment Is For Sale Close To Muslim para Jame Masjid At Madhya Ajampur,3.0,3.0,3,vacant,1340.0,dhaka,"৳6,200,000","Madhya Ajampur, Dakshin Khan"
53,"1400 Sq Ft Flat With 3 Bedrooms Is Up For Sale In Mohammadpur, Mohammadia Housing Society",3.0,3.0,7,vacant,1400.0,dhaka,"৳11,500,000","Mohammadia Housing Society, Mohammadpur"
54,A Nicely Build 1275 Sq Ft And 3 Bedroom Apartment Is Vacant For Sale In Uttar Badda .,3.0,3.0,3,vacant,1275.0,dhaka,"৳8,000,000","Uttar Badda, Badda"
56,"An Apartment Is Up For Sale In Ibrahimpur, Near Ibrahimpur Central Jame Masjid.",2.0,2.0,5,vacant,1050.0,dhaka,"৳4,800,000","North Ibrahimpur, Ibrahimpur"
57,A Decent Apartment In Mohakhali Near Jabala ICDDRB Is Up For Sale,2.0,2.0,5,vacant,850.0,dhaka,"৳5,500,000","Dakhshin Para, Mohakhali"
58,Flat For Sale In West Agargaon Nearby Bangladesh Public Service Commission,3.0,4.0,2,vacant,1440.0,dhaka,"৳7,300,000","West Agargaon, Agargaon"
59,"You Can Move Into This Well Planned And Comfortable Residential Flat In Uttara Sector 11 For Sale , Of 948 Sq Ft, Near Shaheed Monsur Ali Medical College And Hospital",2.0,3.0,5,vacant,948.0,dhaka,"৳7,000,000","Sector 11, Uttara"
60,Stunning 2644 Square Feet Apartment For Sale In Gulshan 1,4.0,4.0,5,vacant,2644.0,dhaka,"৳35,000,000","Gulshan 1, Gulshan"
61,Convenient 800 Square Feet Apartment For Sale In Dhanmondi,2.0,2.0,6,vacant,800.0,dhaka,"৳6,950,000","North Circular Road, Dhanmondi"
62,A 2000 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Bashundhara R-a,4.0,4.0,5,vacant,2000.0,dhaka,"৳22,000,000","Block B, Bashundhara R-A"
63,"1593 Sq Ft Nicely Planned Apartment Is Available For Sale In Lalmatia, Block B",3.0,3.0,4,vacant,1593.0,dhaka,"৳21,500,000","Block B, Lalmatia"
64,A 1220 Sq Ft Home Is Available To Sale In West Shewrapara,3.0,2.0,6,vacant,1220.0,dhaka,"৳5,000,000","West Shewrapara, Mirpur"
65,1040 Sq Ft Properly Developed Flat For Sale In Rajanigandha Residential Area,2.0,2.0,1,vacant,1040.0,dhaka,"৳6,500,000","Section 15, Mirpur"
66,"A 1620 Sq Ft Residential Apartment For Sale, In Block C, Khilgaon",3.0,3.0,4,vacant,1620.0,dhaka,"৳16,500,000","Block C, Khilgaon"
67,Flat For Sale Covering A Beautiful Area In Bashundhara R-a Nearby Basundhara Residential Area Puja Mondop.,3.0,3.0,4,vacant,1550.0,dhaka,"৳14,500,000","Block I, Bashundhara R-A"
68,"1000 Sq Ft Apartment For Sale In Pallabi, Mirpur",2.0,2.0,5,vacant,1000.0,dhaka,"৳5,500,000","Pallabi, Mirpur"
70,A Standard Apartment In Mirpur Near To M.A Zabbar Memorial High School Is Up For Sale,2.0,2.0,2,vacant,740.0,dhaka,"৳4,000,000","Pirerbag, Mirpur"
71,An Attractively Designed 1250 Sq Ft Apartment For Sale In Mirpur Section 10,3.0,3.0,6,vacant,1250.0,dhaka,"৳7,800,000","Section 10, Mirpur"
72,"Buy This Modest 1430 Sq Ft Flat In Bashundhara R-a, Block J",3.0,3.0,5,vacant,1430.0,dhaka,"৳12,000,000","Block J, Bashundhara R-A"
73,Celebrate Life Each Day In Your New Apartment Of 1690 Sq Ft At Boro Maghbazar With Your Beloved Family,3.0,3.0,1,vacant,1690.0,dhaka,"৳14,800,000","Boro Maghbazar, Maghbazar"
74,A 1330 Square Ft. Apartment Is For Sale At Banasree,3.0,3.0,1,vacant,1330.0,dhaka,"৳7,900,000","Block B, Banasree"
75,An Impressive 1230 Sq Ft Residential Apartment Is Up For Sale In The Center Of East Shewrapara Near To Jheelpar Jame Masjid,3.0,3.0,2,vacant,1230.0,dhaka,"৳7,400,000","East Shewrapara, Mirpur"
76,An Apartment Of 1700 Sq Ft Is Ready For Sale At Uttara,3.0,3.0,7,vacant,1700.0,dhaka,"৳17,000,000","Sector 7, Uttara"
77,"1300 Sq Ft Residential Apartment Is Up For Sale At Uttara, Sector 10",3.0,3.0,6,vacant,1300.0,dhaka,"৳8,000,000","Sector 10, Uttara"
78,A Convenient 1175 Sq Ft Residential Apartment Is Prepared For Sale At South Pirerbag,3.0,2.0,6,vacant,1175.0,dhaka,"৳6,300,000","Pirerbag, Mirpur"
79,"In East Monipur , 1265 Square Feet Apartment Is For Sale.",3.0,3.0,6,vacant,1265.0,dhaka,"৳8,500,000","East Monipur, Mirpur"
80,"Residential Apartment For Sale in Tipu Sultan Road, Middle Pirerbag",3.0,2.0,7,vacant,1000.0,dhaka,"৳5,700,000","Pirerbag, Mirpur"
81,A Delightful Apartment Of 1554 Sq Ft Is Ready For Sale In A Great Location Of Pallabi,3.0,3.0,1,vacant,1554.0,dhaka,"৳11,500,000","Pallabi, Mirpur"
82,1570 Sq Ft Flat For Sale In Imandipur Road near Imandipur Government Primary School,3.0,3.0,8,vacant,1570.0,dhaka,"৳5,600,000","Imandipur, Savar"
83,Visit This Apartment For Sale In East Monipur Near Life Aid Specialized Hospital Pvt. Ltd.,3.0,2.0,5,vacant,1050.0,dhaka,"৳4,500,000","East Monipur, Mirpur"
84,Check This Nice 815 Sq Ft Flat For Sale At East Monipur Nearby Monipur Baitur Rowshon Jame Masjid,2.0,2.0,6,vacant,815.0,dhaka,"৳4,200,000","East Monipur, Mirpur"
86,Commodious 1590 Sq Ft Flat For Sale In Banasree,3.0,3.0,6,vacant,1590.0,dhaka,"৳11,200,000","Block B, Banasree"
87,"2000 Sq Ft Flat For Sale In Banasree, Block A",4.0,4.0,4,vacant,2000.0,dhaka,"৳21,500,000","Block A, Banasree"
88,"Grab This 800 Square Feet Apartment For Sale In Bashundhara, Block J",2.0,2.0,4,vacant,800.0,dhaka,"৳8,600,000","Block J, Bashundhara R-A"
89,We Are Offering You A Very Spacious 1960 Sq Ft Flat For Sale In Gulshan 1,3.0,4.0,3,vacant,1960.0,dhaka,"৳39,000,000","Gulshan 1, Gulshan"
90,Valuable 1705 Square Feet Apartment Is Ready To Sale In Kalabagan,3.0,3.0,1,vacant,1705.0,dhaka,"৳16,900,000","Lake Circus Road, Kalabagan"
91,1370 square feet apartment is ready to sale in Shukrabad,3.0,3.0,6,vacant,1370.0,dhaka,"৳12,500,000","Shukrabad, Dhanmondi"
92,"2125 Square Feet Apartment For Sale In Bashundhara R-a, Block L",3.0,3.0,4,vacant,2125.0,dhaka,"৳20,000,000","Block L, Bashundhara R-A"
93,Buy This 2687 Square Feet Flat In The Nice Area Of Banani,3.0,3.0,4,vacant,2687.0,dhaka,"৳47,500,000","Road No 25, Banani"
94,Modern 1150 Sq Ft Flat For Sale In Badda,3.0,3.0,3,vacant,1150.0,dhaka,"৳8,800,000","Middle Badda, Badda"
95,"2119 Sq Ft Apartment For Sale In Bashundhara R-a, Near North South University",3.0,3.0,8,vacant,2119.0,dhaka,"৳19,000,000","Block B, Bashundhara R-A"
96,Live A Restful Life In This 2318 Square Feet Flat For Sale In Bashundhara R-a,4.0,4.0,2,vacant,2318.0,dhaka,"৳23,000,000","Block D, Bashundhara R-A"
97,Worthy 1397 Sq Ft Nice Flat Is Ready For Sale At Demra,3.0,3.0,8,vacant,1397.0,dhaka,"৳8,000,000","Matuail, Demra"
98,Offering You 2400 Sq Ft Flat For Sale In Aftab Nagar,3.0,3.0,1,vacant,2400.0,dhaka,"৳20,000,000","Block H, Aftab Nagar"
99,1300 Square Feet Residential Flat With Nicely Built Rooms Is Up For Sale In Shyampur,3.0,3.0,3,vacant,1300.0,dhaka,"৳8,000,000","West Dolairpar, Shyampur"
100,Nice 1300 Sq Ft Flat Is Available For Sale In Shyampur,3.0,3.0,4,vacant,1300.0,dhaka,"৳8,000,000","West Dolairpar, Shyampur"
101,1300 Sq Ft Flat Is Now Vacant For Sale In Shyampur,3.0,3.0,6,vacant,1300.0,dhaka,"৳8,000,000","West Dolairpar, Shyampur"
102,1900 Sq Ft Residential Duplex Property Is Now For Sale Which Is In Bashundhara R-a,3.0,3.0,1,vacant,1900.0,dhaka,"৳21,000,000","Block B, Bashundhara R-A"
103,Property In Aftab Nagar– 1500 Sq Ft Flat For Sale,3.0,3.0,5,vacant,1500.0,dhaka,"৳11,000,000","Block H, Aftab Nagar"
104,Uttara Is Offering You A 1450 Sq Ft Residential Apartment Up For Sale,3.0,3.0,3,vacant,1450.0,dhaka,"৳9,500,000","Sector 10, Uttara"
105,Offering you 750 SQ FT flat for sale in Uttara 10,2.0,2.0,2,vacant,750.0,dhaka,"৳6,200,000","Sector 10, Uttara"
106,Visit This 2343 Sq Ft Flat For Sale In Uttara Sector 6.,3.0,3.0,4,vacant,2343.0,dhaka,"৳22,000,000","Sector 6, Uttara"
107,"1350 Sq Ft Flat Sale In Free School Street Road, Kathalbagan",3.0,3.0,2,vacant,1350.0,dhaka,"৳14,200,000","Free School Street, Kathalbagan"
108,Comfortable Flat Is Up For Sale In Pallabi Nearby City Club Ground,3.0,3.0,5,vacant,1200.0,dhaka,"৳7,500,000","Pallabi, Mirpur"
109,"Picture Yourself, Residing In This Well Constructed And Planned 2045 Sq Ft Apartment In Uttara-7, For Sale",3.0,3.0,1,vacant,2045.0,dhaka,"৳23,625,000","Sector 7, Uttara"
110,Offering 1500 Sq Ft Flat For Sale In Niketan,3.0,3.0,1,vacant,1500.0,dhaka,"৳25,000,000","Block C, Niketan"
111,Pleasant 1410 Sq Ft Residential Apartment For Sale In Shantinagar,3.0,3.0,4,vacant,1410.0,dhaka,"৳13,800,000","Vashani Goli, Shantinagar"
112,A Standard Lifestyle Is Awaiting You In This 650 Square Feet Flat Up For Sale In Sutrapur,2.0,2.0,5,vacant,650.0,dhaka,"৳4,000,000","Gandaria, Sutrapur"
113,Vacant Now | 1185 Sq Ft | Three Bedrooms Apt. | Ready To Move,3.0,3.0,5,vacant,1185.0,dhaka,"৳11,000,000","Lake Circus Road, Kalabagan"
114,"In A Great Location Of Bashundhara R-a, Block H, 1610 Sq Ft Apartment Is Up For Sale",3.0,3.0,4,vacant,1610.0,dhaka,"৳13,100,000","Block H, Bashundhara R-A"
115,"You can buy this lovely apartment of 2180 sq ft to live a relaxed life at Bashundhara R-A, Block J",4.0,4.0,7,vacant,2180.0,dhaka,"৳17,500,000","Block J, Bashundhara R-A"
116,"Wonderful Flat Covering An Area Of 3,650 Sq Ft Is Available For Sale In Gulshan 2",4.0,4.0,2,vacant,3650.0,dhaka,"৳78,000,000","Gulshan 2, Gulshan"
118,2700 Square Feet Apartment For Sale In Gulshan 1,3.0,3.0,3,vacant,2700.0,dhaka,"৳55,000,000","Gulshan 1, Gulshan"
119,Strongly Constructed 1175 Sq Ft Home Is Available To Sale In Baitul Aman Housing Society,3.0,2.0,2,vacant,1175.0,dhaka,"৳8,300,000","Baitul Aman Housing Society, Adabor"
120,Flat For Sale In Mirpur Section 6 Near Mosque,2.0,2.0,1,vacant,650.0,dhaka,"৳3,100,000","Section 6, Mirpur"
121,"1331 Sq Ft Apartment Is Now Available For Sale In Sector 4, Uttara",3.0,4.0,1,vacant,1331.0,dhaka,"৳16,000,000","Sector 4, Uttara"
122,"2 Bedrooms Apartment For Sale In Nobodoy Housing Society, Mohammadpur",2.0,2.0,4,vacant,900.0,dhaka,"৳4,500,000","Nobodoy Housing Society, Mohammadpur"
123,950 Sq Ft Flat Featuring 3 Bedrooms For Sale In Malibagh,3.0,2.0,2,vacant,950.0,dhaka,"৳6,000,000","Gulbag, Malibagh"
124,"Start Residing In This 1230 Sq Ft, Properly Developed Apartment For Sale, In West Shewrapara",2.0,2.0,6,vacant,1230.0,dhaka,"৳5,000,000","West Shewrapara, Mirpur"
125,"1150 Sq Ft Apartment With Serene Views Is Up For Sale In Middle Monipur, Mirpur",3.0,2.0,7,vacant,1150.0,dhaka,"৳6,500,000","Middle Monipur, Mirpur"
126,"Make Sure To Buy This 1150 Sq Ft Apartment, If You Are Looking For A Permanent Residence In Middle Monipur",3.0,2.0,7,vacant,1150.0,dhaka,"৳6,500,000","Middle Monipur, Mirpur"
127,1150 Sq.ft Apartment Is Available For Sale In West Manikdi Which Is Tailored To Your Highest Standards,3.0,3.0,7,vacant,1150.0,dhaka,"৳6,700,000","Manikdi, Cantonment"
128,"Plan Your Urban Life In This 1250 Sq Ft Flat For Sale In Mirpur, East Kazipara",3.0,3.0,2,vacant,1250.0,dhaka,"৳7,600,000","East Kazipara, Mirpur"
129,"Get Ready To Buy This Great Home Of 860 sft In Mirpur, Rupnagar R/a",2.0,2.0,2,vacant,860.0,dhaka,"৳4,900,000","Rupnagar R/A, Mirpur"
130,1050 Square Feet Residential Apartment For Sale At West Kazipara Nearby Baish Bari Masjid,3.0,2.0,1,vacant,1050.0,dhaka,"৳6,200,000","West Kazipara, Mirpur"
131,"Worthy 3355 Sq Ft Residential Apartment Is For Sale At Uttara, Sector 4",4.0,4.0,10,vacant,3355.0,dhaka,"৳39,000,000","Sector 4, Uttara"
132,Buy This 1375 Sq Ft Apartment In Mirpur-6,3.0,3.0,5,vacant,1375.0,dhaka,"৳12,100,000","Section 6, Mirpur"
134,Worthy 900 SQ FT residence is for sale at North Pirerbag,3.0,2.0,2,vacant,900.0,dhaka,"৳5,000,000","Pirerbag, Mirpur"
135,"This 1008 Sq.Ft Convenient Flat Is For Sale In Shadheenata Sharani, Mirpur 10.",3.0,3.0,5,vacant,1008.0,dhaka,"৳4,838,400","Section 10, Mirpur"
136,For Selling Purpose This 1055 Sq.Ft Flat Is Now Vacant In Army Housing Society Road-Moushair .,3.0,2.0,3,vacant,1055.0,dhaka,"৳5,300,000","Moushair, Dakshin Khan"
137,Grab This 1800 Sq.Ft Apartment Up For Sale At Bashundhara R-A Beside Viquarunnisa Noon School and College,3.0,3.0,5,vacant,1800.0,dhaka,"৳16,000,000","Block F, Bashundhara R-A"
138,1250 Square Feet-3 Bedroom Residential Apartment For Sale Close To East Ahmed Nagar Baitul Ekram Masjid.,3.0,3.0,2,vacant,1250.0,dhaka,"৳5,250,000","Ahmed Nagar, Mirpur"
140,"Let Us Assist You To Buy This 900 Sq.Ft Flat At Sugandha Housing, Hemayetpur Summiting The Vision About Your Future Home.",3.0,2.0,9,vacant,900.0,dhaka,"৳2,900,000","Hemayetpur, Savar"
141,"1050 Sq Ft Flat For Sale In Radio Colony, Savar",2.0,2.0,6,vacant,1050.0,dhaka,"৳3,360,000","Radio Colony, Savar"
142,Find 1250 SQ FT flat available for sale in Bashundhara R-A,3.0,3.0,2,vacant,1250.0,dhaka,"৳11,500,000","Block C, Bashundhara R-A"
143,"Offering You An Excellent 1675 Sq Ft Flat For Sale In Shah Ali Bag, Mirpur",3.0,3.0,9,vacant,1675.0,dhaka,"৳9,712,500","Section 1, Mirpur"
144,"Worthy 1300 Sq Ft Residential Apartment Is For Sale At Ahmed Nagar, Mirpur",3.0,3.0,1,vacant,1300.0,dhaka,"৳7,500,000","Ahmed Nagar, Mirpur"
145,There Is 3 Bedroom Apartment Up For Sale In The Location Of Dhanmondi Near Sunnydale.,3.0,4.0,1,vacant,2787.0,dhaka,"৳29,000,000","Road No 12A, Dhanmondi"
146,5040 Sq. Ft Apartment Which Is Up For Sale At Bashundhara R-a Near To Ebenzer International School.,4.0,4.0,9,vacant,5040.0,dhaka,"৳54,000,000","Block C, Bashundhara R-A"
147,"An Apartment Is Ready For Sale At Uttara -9, Near Uttara Ideal College",3.0,2.0,5,vacant,986.0,dhaka,"৳6,200,000","Sector 9, Uttara"
148,Visit This Apartment For Sale In Dakshin Khan Near Nogoriabari Mohammadia Jame Masjid,2.0,2.0,5,vacant,920.0,dhaka,"৳3,300,000","South Chalabon, Dakshin Khan"
149,Flat For Sale In Agargaon Close To Agargaon Jame Masjid,3.0,3.0,1,vacant,1275.0,dhaka,"৳8,500,000","West Agargaon, Agargaon"
150,An Exemplary Flat For You Is Offered By Us Near To NCC Bank Limited,3.0,3.0,2,vacant,2290.0,dhaka,"৳22,500,000","Block B, Bashundhara R-A"
151,1400 Sq Ft Flat Is Available For Sale In Mirpur 12 Nearby City Bank,3.0,3.0,2,vacant,1400.0,dhaka,"৳7,800,000","Section 12, Mirpur"
152,A Reasonable Apartment Is Available For Sale At Mirpur-10,3.0,2.0,4,vacant,1075.0,dhaka,"৳5,500,000","Section 10, Mirpur"
153,"Nice Flat Can Be Found In Uttara For Sale, Near Friends Club Playground",3.0,3.0,1,vacant,1300.0,dhaka,"৳9,600,000","Sector 5, Uttara"
154,Ready Apartment For Sale At Ashkona Nearby Chad Jame Masjid,3.0,3.0,2,vacant,1135.0,dhaka,"৳7,500,000","Ashkona, Dakshin Khan"
155,"Nearly Finished Apartment Is Up For Sale In Mirpur Section 10, Near To Darland International School",2.0,2.0,2,vacant,855.0,dhaka,"৳4,702,500","Section 10, Mirpur"
156,"Convenient Flat Is Up For Sale In Rampura Nearby Rupali Bank Limited, Rampura Branch",3.0,3.0,2,vacant,1425.0,dhaka,"৳9,000,000","East Rampura, Rampura"
157,2380 Sq Ft Apartment For sale At Bashundhara R-A Nearby Playpen School Junior Section,3.0,4.0,4,vacant,2380.0,dhaka,"৳21,500,000","Block D, Bashundhara R-A"
159,We Bring You A Beautiful And Distinct Flat Of 2000 Sq Ft For Sale In Baitul Aman Housing Society,4.0,4.0,4,vacant,2000.0,dhaka,"৳14,800,000","Baitul Aman Housing Society, Adabor"
160,Buy This 1600 Sq Ft Beautiful Apartment In Uttara-12,3.0,3.0,2,vacant,1600.0,dhaka,"৳14,000,000","Sector 12, Uttara"
161,Ready Flat Is Now For Sale In Mirpur Dohs Nearby Mirpur Dohs Central Mosque,4.0,4.0,3,vacant,2200.0,dhaka,"৳25,000,000","Mirpur DOHS, Mirpur"
162,3474 Square Feet Spacious Apartment For Sale In Uttara-3,4.0,4.0,8,vacant,3474.0,dhaka,"৳45,000,000","Sector 3, Uttara"
163,"1550 Sq Ft Nice Flat For Sale In Aftab Nagar, Block C",3.0,4.0,9,vacant,1550.0,dhaka,"৳15,000,000","Block C, Aftab Nagar"
164,850 Sq Ft Flat For Sale In South Badda,2.0,2.0,1,vacant,850.0,dhaka,"৳5,000,000","South Badda, Badda"
166,Nearly Finished 1380 Sq Ft Flat For Sale In Aftab Nagar,3.0,3.0,3,vacant,1380.0,dhaka,"৳9,500,000","Block E, Aftab Nagar"
167,"You Can Buy This Lovely Apartment Of 1350 Sq Ft For Live A Relaxed Life At Banasree, Block C",3.0,3.0,8,vacant,1350.0,dhaka,"৳11,300,000","Block C, Banasree"
168,1470 Sq Ft Flat Is For Sale In Mansurabad Housing Society Nearby Baitur Rahman Jame Mosque,3.0,3.0,2,vacant,1470.0,dhaka,"৳7,000,000","Mansurabad Housing Society, Adabor"
169,We are offering you a very spacious 1090 SQ FT flat for Sale in Mirpur near to Holy Crescent School,3.0,2.0,1,vacant,1090.0,dhaka,"৳5,500,000","West Shewrapara, Mirpur"
170,"1220 Sq Ft Flat For Sale In Banasree, Block G",3.0,2.0,7,vacant,1220.0,dhaka,"৳8,000,000","Block G, Banasree"
171,"Live Permanently In A 1550 Sq Ft Property, Which Is Up For Sale Located At Uttar Badda",3.0,3.0,2,vacant,1550.0,dhaka,"৳14,500,000","Uttar Badda, Badda"
173,Reasonable 1654 Sq Ft Apartment For Sale In Uttara 18,3.0,4.0,5,vacant,1654.0,dhaka,"৳12,500,000","Sector 18, Uttara"
174,Flat Is Ready For Sale In East Kazipara Near To Bank Asia Agent Banking,3.0,2.0,2,vacant,975.0,dhaka,"৳4,000,000","East Kazipara, Mirpur"
