,Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Price_in_taka,Location
1826,"Start Your New Home, In This Reasonable And Comfortable 4 Bedroom Flat Which Is Up For Sale In 11 No. South Kattali Ward.",4.0,3.0,5,vacant,1500.0,chattogram,"৳6,000,000","Dakshin Kattali, 11 No. South Kattali Ward"
1827,1350 SQ FT flat for Sale in Halishahar close to Halishahar Jame Masjid,3.0,3.0,3,vacant,1350.0,chattogram,"৳6,800,000","Halishahar Road, Halishahar"
1836,1575 Sq Ft Convenient Apartment For Sale In 30 No. East Madarbari Ward,3.0,3.0,3,vacant,1575.0,chattogram,"৳9,000,000","Darogahat Road, 30 No. East Madarbari Ward"
1837,"1250 Sq Ft Nice Flat Is Up For Sale At Bayezid Dreamland Residential Area, Bayazid",3.0,3.0,4,vacant,1250.0,chattogram,"৳4,800,000","Dreamland Residential Area, Bayazid"
1838,Choose Your Destination At 1400 Sq Ft Flat Which Is Available For Sale In North Pahartali Near Ferozshah Colony Government Primary School,3.0,3.0,1,vacant,1400.0,chattogram,"৳7,000,000","Lake Valley R/A, 9 No. North Pahartali Ward"
1839,3000 Sq Ft Flat Is Now Vacant For Sale In South Khulsi Close To South Khulsi Jame Masjid,4.0,4.0,1,vacant,3000.0,chattogram,"৳28,000,000","North Khulshi, Khulshi"
1841,Visit This 825 Sq Ft Flat For Sale In Dakshin Kattali Nearby Master Mind School,3.0,3.0,3,vacant,825.0,chattogram,"৳3,700,000","Dakshin Kattali, 11 No. South Kattali Ward"
1842,1007 Sq Ft Apartment For Sale In Firingee Bazaar Near Firingee Bazaar Temple.,2.0,2.0,8,vacant,1007.0,chattogram,"৳5,034,000","Kobi Kazi Nazrul Islam Road, 33 No. Firingee Bazaar Ward"
1846,1270 Sq Ft Apartment Is Up For Sale At 30 No. East Madarbari Ward Near M/s. Rainbow Cng Service Station Ltd,3.0,3.0,5,vacant,1270.0,chattogram,"৳6,604,000","Majhirghat Road, 30 No. East Madarbari Ward"
1847,Take A Look At This 1400 Square Feet Residential Apartment For Sale Next To East Madarbari City Corporation Girls High School,3.0,3.0,6,vacant,1400.0,chattogram,"৳7,280,000","Majhirghat Road, 30 No. East Madarbari Ward"
1848,Great Location! Check Out This Flat For Sale In 33 No. Firingee Bazaar Ward,3.0,3.0,5,vacant,1050.0,chattogram,"৳5,250,000","Kobi Kazi Nazrul Islam Road, 33 No. Firingee Bazaar Ward"
1849,Check This 1580 Sq Ft Cozy And Nice Flat Just What You Are Looking For In A Home,3.0,3.0,5,vacant,1580.0,chattogram,"৳7,900,000","Kobi Kazi Nazrul Islam Road, 33 No. Firingee Bazaar Ward"
1850,Contact Us To Buy 1428 Sq Ft Home Which Is Now Available In Sabujbag For Sale,3.0,3.0,5,vacant,1428.0,chattogram,"৳4,998,000","Sabujbag, Halishahar"
1851,Select Your Next Residing Place At This Nice Flat Of 1408 Sq Ft In Halishahar,3.0,3.0,5,vacant,1408.0,chattogram,"৳4,928,000","Sabujbag, Halishahar"
1852,1500 Sq Ft Flat Is Available For Sale At Pahartali,4.0,4.0,11,vacant,1500.0,chattogram,"৳4,950,000","12 No. Sarai Para Ward, Double Mooring"
1853,Buy This Flat For The vibrant Urban Lifestyle You Dream About,4.0,4.0,11,vacant,1500.0,chattogram,"৳4,950,000","12 No. Sarai Para Ward, Double Mooring"
1854,A 1500 Sq.Ft Residential Apartment For Sale At 24 No. North Agrabad Ward.,3.0,2.0,4,vacant,1500.0,chattogram,"৳6,000,000","24 No. North Agrabad Ward, Double Mooring"
1855,A 1600 Square Feet House At 24 No. North Agrabad Ward Is Up For Sale.,3.0,2.0,4,vacant,1600.0,chattogram,"৳6,400,000","24 No. North Agrabad Ward, Double Mooring"
1857,An Adequate Apartment Of 1160 Sq.Ft Is Up For Sale In Dewan Bazar .,3.0,3.0,4,vacant,1160.0,chattogram,"৳5,220,000","Dewan Bazar, Bakalia"
